,y_test,y_hat,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary
6531,0,0,0.62,0.89,3,201,3,0,0,0,technical,medium
2796,0,0,0.64,0.67,5,198,2,1,0,0,support,medium
10101,0,0,0.56,0.68,3,144,3,1,0,0,sales,low
10496,0,0,0.57,1.0,3,241,4,0,0,0,technical,low
11522,0,0,0.5,0.92,4,266,7,0,0,0,product_mng,medium
3970,0,0,0.94,0.83,5,148,3,0,0,0,accounting,low
10720,0,0,0.52,0.96,3,271,3,1,0,0,technical,medium
5504,0,0,0.99,0.77,4,184,3,0,0,0,marketing,medium
1220,1,1,0.36,0.52,2,137,3,0,1,0,marketing,low
10526,0,0,0.8,0.96,4,160,4,0,0,0,IT,low
4235,0,0,0.85,0.51,3,153,4,0,0,0,technical,medium
7641,0,0,0.71,0.77,3,149,2,0,0,0,sales,medium
10531,0,0,0.81,0.91,3,184,3,0,0,0,RandD,low
8710,0,0,0.71,0.8,2,146,4,0,0,0,marketing,low
12454,1,1,0.09,0.97,7,254,4,1,1,0,RandD,medium
3433,0,0,0.88,0.88,3,214,2,1,0,0,RandD,low
4849,0,0,0.73,0.86,4,179,3,0,0,0,technical,medium
6261,0,0,0.94,0.84,4,220,3,0,0,0,support,low
8806,0,0,0.31,1.0,4,177,5,0,0,0,accounting,medium
12640,1,1,0.37,0.52,2,128,3,0,1,0,accounting,low
11192,0,0,0.91,0.6,4,235,4,1,0,0,marketing,low
5759,0,0,0.55,0.83,5,220,3,0,0,0,hr,low
8601,0,0,0.56,0.88,4,273,3,0,0,0,support,low
12128,1,1,0.09,0.82,6,250,4,0,1,0,support,low
6057,0,0,0.63,0.49,3,252,3,0,0,0,sales,medium
2654,0,0,0.71,0.48,5,114,3,0,0,0,management,low
677,1,1,0.73,0.89,5,236,6,0,1,0,product_mng,low
14410,1,1,0.77,0.94,5,226,6,0,1,0,support,low
5937,0,0,0.68,0.5,3,139,3,0,0,0,technical,medium
319,1,1,0.4,0.46,2,130,3,0,1,0,sales,low
3134,0,0,0.93,0.95,6,147,3,0,0,0,technical,low
6852,0,0,0.53,0.77,2,271,2,0,0,0,technical,low
13765,0,0,0.66,0.51,4,254,2,0,0,0,sales,medium
11893,0,0,0.74,0.79,5,121,5,0,0,1,management,high
8885,0,0,0.68,0.71,4,206,2,0,0,0,hr,medium
6457,0,0,0.54,0.51,2,176,3,0,0,0,support,high
906,1,1,0.1,0.78,7,286,4,0,1,0,product_mng,low
6524,0,0,0.99,0.92,4,229,2,0,0,0,technical,medium
644,1,1,0.58,0.62,4,238,3,0,1,0,hr,low
2544,0,0,0.58,0.87,3,268,2,0,0,0,sales,low
7441,0,0,0.92,0.77,5,191,2,0,0,0,technical,medium
9182,0,0,0.76,0.99,5,252,3,1,0,0,sales,low
8236,0,0,0.56,0.8,5,202,4,0,0,0,product_mng,low
13144,0,0,0.58,0.97,3,274,4,1,0,1,sales,medium
8673,0,0,0.89,0.75,4,246,3,1,0,0,support,low
7674,0,0,0.4,0.65,6,172,2,1,0,0,technical,low
13540,0,0,1.0,0.74,2,187,3,0,0,0,support,medium
1085,1,1,0.77,1.0,4,272,5,0,1,0,sales,medium
14239,1,1,0.41,0.46,2,128,3,0,1,0,accounting,low
9548,0,0,0.61,0.37,4,165,6,0,0,0,marketing,medium
14513,1,1,0.1,0.77,7,250,5,0,1,0,RandD,medium
7799,0,0,0.17,0.5,4,274,6,0,0,0,sales,medium
11634,0,0,0.77,0.73,3,201,10,0,0,0,management,high
10386,0,0,0.77,0.83,4,154,3,0,0,0,marketing,low
13164,0,0,0.66,0.76,3,170,3,0,0,0,technical,low
1424,1,1,0.45,0.48,2,149,3,0,1,0,support,low
14023,0,0,0.82,0.49,5,210,3,0,0,0,management,high
12290,1,1,0.4,0.46,2,128,3,0,1,0,management,low
9806,0,0,0.66,0.51,3,192,3,0,0,0,technical,low
7834,0,0,0.58,0.79,2,274,4,0,0,0,support,medium
7964,0,0,0.91,0.61,3,255,3,0,0,0,accounting,medium
7543,0,0,0.81,0.66,3,160,2,0,0,0,IT,medium
4290,0,0,0.95,0.78,4,245,3,0,0,0,sales,low
683,1,1,0.86,0.98,3,158,5,0,1,0,sales,low
7147,0,0,0.36,0.95,6,276,2,0,0,0,support,low
7232,0,0,0.97,0.67,4,223,3,0,0,0,support,low
11160,0,0,0.74,0.64,3,136,2,0,0,0,IT,medium
2887,0,0,0.79,0.48,4,184,5,1,0,0,IT,low
8326,0,0,0.6,0.69,6,250,5,1,0,0,management,low
1905,1,1,0.43,0.49,2,131,3,0,1,0,RandD,high
13976,0,0,0.92,0.64,4,190,10,1,0,0,management,low
14674,1,1,0.8,0.85,4,273,5,0,1,0,management,low
9219,0,0,0.24,0.6,2,194,6,0,0,0,IT,medium
3378,0,0,0.95,0.81,4,272,3,0,0,0,sales,medium
2220,0,0,0.75,0.51,4,138,4,0,0,0,marketing,medium
11438,0,0,0.16,0.98,3,232,5,0,0,0,sales,medium
10760,0,0,0.59,0.97,3,257,3,0,0,0,marketing,low
4793,0,0,0.56,0.52,4,158,2,0,0,0,IT,low
956,1,1,0.46,0.53,2,143,3,1,1,0,technical,low
3278,0,0,0.78,0.98,4,239,3,0,0,0,RandD,medium
8580,0,0,0.84,0.95,5,199,3,0,0,0,accounting,high
11015,0,0,0.64,0.56,3,257,6,0,0,0,marketing,medium
13019,0,0,0.27,0.48,4,185,2,0,0,0,support,low
49,1,1,0.43,0.47,2,147,3,0,1,0,support,low
14846,1,1,0.39,0.57,2,127,3,0,1,0,sales,low
14346,1,1,0.31,0.84,7,133,5,0,1,0,technical,low
3511,0,0,0.72,0.96,3,143,3,0,0,0,sales,low
7182,0,0,1.0,0.87,4,268,2,0,0,0,marketing,medium
4813,0,0,0.72,0.92,3,225,3,0,0,0,management,medium
1207,1,1,0.81,0.98,5,237,5,0,1,0,IT,medium
6661,0,0,0.94,0.69,3,248,3,0,0,0,sales,low
11526,0,0,0.47,0.76,6,174,10,0,0,0,IT,medium
14819,1,1,0.45,0.49,2,134,3,0,1,0,RandD,medium
166,1,1,0.43,0.55,2,129,3,0,1,0,sales,low
11185,0,0,0.57,0.46,2,100,6,1,0,1,marketing,medium
5699,0,0,0.92,0.53,3,253,3,0,0,0,support,low
10994,0,0,0.61,0.86,3,239,3,0,0,0,IT,low
5173,0,0,0.8,0.87,4,220,2,0,0,0,IT,medium
841,1,1,0.11,0.85,6,299,4,0,1,0,support,medium
978,1,1,0.39,0.56,2,156,3,0,1,0,IT,low
2374,0,0,0.57,0.85,4,164,3,0,0,0,sales,low
3732,0,0,0.29,0.43,3,162,4,0,0,0,IT,medium
3407,0,0,0.54,0.43,3,192,2,0,0,0,support,low
2682,0,0,0.69,0.87,3,202,2,0,0,0,sales,medium
5137,0,0,0.64,0.97,2,226,3,1,0,0,sales,medium
1825,1,1,0.82,0.91,5,276,6,0,1,0,product_mng,medium
3327,0,0,0.55,0.81,3,242,2,0,0,0,technical,low
9307,0,0,0.68,0.44,5,165,3,0,0,0,RandD,medium
3011,0,0,0.89,0.73,3,210,2,0,0,0,hr,low
2632,0,0,0.68,0.69,4,225,2,0,0,0,technical,low
998,1,1,0.37,0.46,2,155,3,0,1,0,marketing,medium
4943,0,0,0.55,0.65,3,207,3,0,0,0,technical,low
9290,0,0,0.77,0.4,4,207,5,0,0,0,support,low
11316,0,0,0.66,0.81,3,174,3,0,0,0,technical,low
14183,0,0,0.55,0.81,3,239,8,0,0,0,accounting,high
12697,1,1,0.11,0.8,6,306,4,0,1,0,sales,low
13761,0,0,0.63,0.6,4,258,3,0,0,0,sales,medium
5026,0,0,0.84,0.91,5,208,3,0,0,0,product_mng,low
3704,0,0,0.6,0.73,3,191,5,1,0,0,technical,low
13045,0,0,0.79,0.74,3,169,3,0,0,0,RandD,low
7250,0,0,0.77,0.94,4,225,2,0,0,0,RandD,medium
20,1,1,0.11,0.83,6,282,4,0,1,0,sales,low
1389,1,1,0.4,0.49,2,151,3,0,1,0,sales,medium
6911,0,0,0.49,0.43,5,210,4,1,0,0,technical,medium
3475,0,0,0.63,0.54,3,145,2,1,0,0,technical,low
3280,0,0,0.84,0.51,4,259,3,0,0,0,RandD,medium
9040,0,0,0.64,0.52,4,271,2,1,0,0,hr,medium
4899,0,0,0.92,0.92,3,244,2,0,0,0,sales,high
14729,1,1,0.44,0.54,2,151,3,0,1,0,management,low
8161,0,0,0.5,0.46,3,165,3,0,0,0,RandD,low
8034,0,0,0.9,0.53,3,270,3,0,0,0,sales,medium
10698,0,0,0.88,0.65,5,228,3,0,0,0,sales,medium
8198,0,0,0.77,0.67,4,225,4,0,0,0,hr,low
1540,1,1,0.42,0.47,2,145,3,0,1,0,sales,low
7942,0,0,0.81,0.52,4,221,6,0,0,0,marketing,high
11838,0,0,0.43,0.88,2,149,4,0,0,0,product_mng,medium
8785,0,0,0.55,0.8,3,192,3,1,0,0,marketing,low
6062,0,0,0.96,0.8,4,145,2,0,0,0,hr,medium
6341,0,0,0.72,0.58,3,198,2,0,0,0,marketing,low
3535,0,0,0.96,0.5,3,234,2,1,0,0,sales,medium
6939,0,0,1.0,0.87,3,274,3,0,0,0,product_mng,medium
1550,1,1,0.09,0.87,7,305,4,0,1,0,sales,medium
533,1,1,0.43,0.51,2,136,3,0,1,0,hr,medium
7359,0,0,0.79,0.5,4,252,3,1,0,0,hr,medium
7977,0,0,1.0,0.6,4,265,4,0,0,0,technical,low
871,1,1,0.87,0.94,4,260,5,0,1,0,hr,low
4678,0,0,0.49,0.77,2,254,2,0,0,0,sales,low
14578,1,1,0.4,0.56,2,131,3,0,1,0,IT,low
9168,0,0,0.57,0.96,5,203,4,0,0,0,sales,low
11993,0,0,0.64,0.5,4,253,10,0,0,1,management,high
12983,0,0,0.92,0.83,4,268,4,0,0,0,sales,low
3079,0,0,0.82,0.97,3,244,5,0,0,0,sales,medium
5995,0,0,0.79,0.57,5,230,2,0,0,0,technical,low
4307,0,0,0.61,0.98,3,138,5,1,0,0,hr,medium
12170,1,1,0.81,0.99,4,259,5,0,1,0,sales,low
9037,0,0,0.31,0.72,2,191,3,0,0,0,hr,medium
2072,0,0,0.97,0.83,4,202,3,0,0,0,sales,low
6567,0,0,0.3,0.97,3,171,4,1,0,0,management,medium
6431,0,0,0.73,0.95,3,222,4,0,0,0,sales,medium
11730,0,0,0.91,0.58,3,220,7,0,0,1,sales,low
10821,0,0,0.7,0.6,5,208,3,0,0,0,management,medium
14538,1,1,0.88,0.99,5,262,6,0,1,0,sales,low
9464,0,0,0.52,0.99,4,253,3,0,0,0,marketing,medium
1176,1,1,0.38,0.5,2,151,3,1,1,0,hr,low
13457,0,0,0.69,0.56,4,149,3,0,0,0,IT,medium
4653,0,0,0.89,0.89,3,138,2,0,0,0,RandD,medium
3241,0,0,0.9,0.76,2,211,4,0,0,0,technical,low
4303,0,0,0.5,0.54,4,165,3,0,0,0,accounting,low
987,1,1,0.1,0.79,6,249,4,0,1,0,RandD,low
2525,0,0,0.75,0.75,3,273,3,0,0,0,marketing,medium
10115,0,0,0.6,0.66,5,143,2,0,0,0,technical,low
9923,0,0,1.0,0.51,5,274,4,0,0,0,IT,medium
11130,0,0,0.82,0.87,5,145,6,0,0,0,hr,medium
835,1,1,0.11,0.78,6,300,4,1,1,0,RandD,low
1396,1,0,0.2,0.7,6,281,5,0,1,0,sales,medium
6785,0,0,0.64,0.94,3,148,2,0,0,0,product_mng,medium
5668,0,0,0.77,0.55,3,225,3,0,0,0,sales,medium
1441,1,1,0.11,0.83,7,255,5,0,1,0,product_mng,medium
8942,0,0,0.92,0.75,4,212,3,0,0,0,sales,low
4309,0,0,0.89,0.71,5,182,2,1,0,0,hr,medium
5205,0,0,0.83,0.78,3,165,3,1,0,0,sales,medium
2933,0,0,0.56,0.88,3,174,3,0,0,0,hr,low
11721,0,0,0.98,0.74,4,151,3,0,0,0,sales,medium
8947,0,0,0.42,0.73,3,115,6,0,0,0,sales,high
6228,0,0,0.76,0.8,4,226,5,0,0,0,support,low
2929,0,0,0.32,0.81,2,249,3,0,0,0,accounting,low
11934,0,0,0.88,0.51,5,195,4,0,0,0,IT,low
13657,0,0,0.31,0.7,3,132,3,0,0,0,product_mng,low
913,1,1,0.44,0.49,2,127,3,1,1,0,sales,low
9705,0,0,0.9,0.52,3,162,2,0,0,0,sales,high
3629,0,0,0.15,0.67,6,209,5,0,0,0,technical,low
2437,0,0,0.72,0.86,4,191,2,0,0,0,RandD,low
12645,1,1,0.4,0.54,2,141,3,0,1,0,technical,medium
12262,1,1,0.44,0.56,2,131,3,0,1,0,hr,medium
9282,0,0,0.12,0.9,3,200,3,0,0,0,support,low
6722,0,0,0.63,0.88,5,260,3,0,0,0,marketing,medium
7761,0,0,0.49,0.79,5,206,2,0,0,0,support,medium
4179,0,0,0.95,0.58,3,163,3,0,0,0,technical,medium
11354,0,0,0.62,0.97,2,271,3,0,0,0,sales,low
10521,0,0,0.77,0.54,5,252,2,0,0,0,IT,low
6349,0,0,0.34,0.81,4,116,3,1,0,0,sales,low
2037,0,0,0.61,0.41,3,138,3,0,0,0,support,low
11030,0,0,0.73,0.61,4,260,2,1,0,0,sales,low
9327,0,0,0.95,0.77,4,213,3,1,0,0,sales,low
8468,0,0,0.66,0.64,5,208,4,0,0,0,RandD,medium
14573,1,1,0.41,0.54,2,145,3,0,1,0,support,low
5472,0,0,0.19,0.64,5,181,4,1,0,0,support,medium
2888,0,0,0.66,0.75,4,203,3,1,0,0,IT,low
11642,0,0,0.69,0.65,3,153,2,0,0,0,marketing,medium
14980,1,1,0.76,0.89,5,238,5,0,1,0,technical,high
11720,0,0,0.31,0.63,3,150,3,1,0,0,sales,medium
2638,0,0,0.69,0.61,5,229,3,0,0,0,technical,medium
12589,1,1,0.39,0.54,2,155,3,0,1,0,support,low
282,1,1,0.83,0.92,5,267,6,0,1,0,support,low
8512,0,0,0.55,0.88,3,173,3,1,0,0,technical,low
4874,0,0,0.74,0.79,5,237,4,0,0,0,product_mng,low
6291,0,0,0.59,0.72,2,107,3,0,0,0,hr,medium
8430,0,0,0.98,0.72,3,262,4,0,0,0,hr,low
11494,0,0,0.49,0.49,3,168,7,0,0,0,sales,low
13754,0,0,0.96,0.48,4,198,7,0,0,0,sales,medium
5948,0,0,0.74,0.83,4,142,3,0,0,0,IT,medium
7383,0,0,0.77,0.98,3,273,3,0,0,0,support,high
12566,1,1,0.11,0.79,7,310,4,0,1,0,hr,low
1920,1,1,0.37,0.49,2,148,3,0,1,0,sales,low
11920,0,0,0.19,0.61,4,127,8,0,0,0,sales,low
8801,0,0,0.93,0.68,3,137,3,1,0,0,sales,medium
14905,1,1,0.11,0.77,6,247,4,0,1,0,technical,medium
13801,0,0,0.82,0.65,5,178,7,1,0,0,sales,medium
14966,1,1,0.83,0.81,5,219,5,0,1,0,sales,low
12374,1,1,0.86,0.84,5,254,5,0,1,0,product_mng,medium
7941,0,0,0.62,0.85,4,225,2,0,0,0,management,high
11260,0,0,0.74,0.6,4,274,10,1,0,0,management,medium
10787,0,0,0.67,0.6,5,253,6,0,0,0,sales,medium
9783,0,0,0.63,0.78,2,158,5,1,0,0,sales,medium
3483,0,0,0.65,0.7,4,211,2,0,0,0,support,low
7264,0,0,0.23,0.94,4,142,4,0,0,0,sales,medium
7516,0,0,0.69,0.97,4,264,3,0,0,0,technical,low
9318,0,0,0.82,0.51,5,232,3,0,0,0,marketing,medium
7068,0,0,0.32,0.66,5,116,5,1,0,0,technical,high
12779,1,1,0.11,0.9,7,247,4,0,1,0,sales,medium
9917,0,0,0.63,0.63,5,252,2,0,0,0,product_mng,low
2248,0,0,0.53,0.75,4,239,2,1,0,0,technical,medium
2656,0,0,0.67,0.59,3,177,3,1,0,0,IT,low
2346,0,0,0.59,0.43,3,173,3,0,0,0,technical,low
5798,0,0,0.9,0.82,3,203,2,0,0,0,RandD,low
8658,0,0,0.74,0.92,4,226,3,0,0,0,hr,medium
7485,0,0,0.58,0.5,3,208,3,0,0,0,management,medium
11110,0,0,0.44,0.51,2,219,4,0,0,0,sales,low
5090,0,0,0.8,0.58,3,197,3,0,0,0,support,medium
13472,0,0,0.81,0.85,4,134,10,1,0,0,management,medium
102,1,1,0.42,0.46,2,150,3,0,1,0,sales,medium
13117,0,0,1.0,0.73,5,189,3,1,0,0,product_mng,low
4872,0,0,0.98,0.72,3,252,2,0,0,0,IT,low
14018,0,0,0.65,0.95,2,180,2,0,0,0,product_mng,low
10559,0,0,0.49,0.5,5,170,2,0,0,0,sales,medium
13068,0,0,0.6,0.96,4,220,3,1,0,1,sales,medium
8095,0,0,1.0,0.61,4,198,2,0,0,0,management,low
3041,0,0,0.72,0.8,5,244,3,0,0,0,IT,medium
12297,1,1,0.4,0.52,2,147,3,0,1,0,product_mng,medium
3478,0,0,0.49,0.76,3,208,2,0,0,0,technical,low
5462,0,0,0.67,0.91,3,256,3,0,0,0,technical,low
86,1,1,0.17,0.84,5,232,3,0,1,0,sales,low
10125,0,0,1.0,0.66,4,173,2,0,0,0,support,medium
14700,1,1,0.76,0.88,4,206,4,0,1,0,hr,medium
889,1,1,0.11,0.79,6,281,4,0,1,0,support,medium
8176,0,0,0.74,0.69,4,244,2,0,0,0,sales,low
5561,0,0,0.28,0.97,4,102,3,0,0,0,IT,high
6321,0,0,0.67,0.75,4,133,2,0,0,0,IT,medium
10519,0,0,0.65,0.74,4,228,2,1,0,0,IT,medium
13659,0,0,0.57,0.46,3,186,3,1,0,0,IT,medium
3783,0,0,0.85,0.55,4,233,2,1,0,0,technical,low
14853,1,1,0.73,0.97,5,235,5,0,1,0,hr,low
1883,1,1,0.37,0.54,2,157,3,0,1,0,support,low
6489,0,0,0.72,0.84,4,250,3,0,0,0,support,high
6932,0,0,0.97,0.66,4,214,2,1,0,0,IT,low
12672,1,1,0.46,0.57,2,154,3,0,1,0,IT,low
12853,0,0,0.76,0.7,3,136,2,0,0,0,hr,high
6014,0,0,0.91,0.62,5,169,4,0,0,0,management,medium
4884,0,0,0.66,0.91,5,199,3,1,0,0,marketing,low
7200,0,0,0.89,0.76,3,251,2,1,0,0,sales,low
3671,0,0,0.7,0.7,3,224,3,0,0,0,sales,low
6143,0,0,0.52,0.73,4,245,4,0,0,0,technical,medium
10515,0,0,0.49,0.52,4,267,2,0,0,0,technical,high
7437,0,0,0.98,0.8,3,166,2,0,0,0,hr,medium
3304,0,0,0.8,0.54,5,261,2,0,0,0,sales,medium
13824,0,0,0.56,0.85,3,265,10,1,0,0,management,low
10893,0,0,0.59,0.97,5,179,6,0,0,0,support,medium
11582,0,0,0.58,0.91,3,195,10,0,0,0,support,low
2904,0,0,0.69,0.53,3,142,3,0,0,0,support,low
1873,1,1,0.09,0.93,6,279,4,0,1,0,technical,low
447,1,1,0.1,0.84,5,298,4,0,1,0,IT,low
11112,0,0,0.85,0.94,5,235,4,0,0,0,sales,low
5241,0,0,0.88,0.45,5,274,2,1,0,0,support,medium
7274,0,0,0.83,0.91,4,266,3,1,0,0,sales,low
5973,0,0,0.87,0.74,4,151,4,0,0,0,sales,medium
10060,0,0,0.74,1.0,4,242,2,0,0,0,management,low
8938,0,0,0.49,0.87,4,171,3,1,0,0,marketing,medium
6798,0,0,0.39,1.0,5,204,5,1,0,0,management,medium
5219,0,0,0.55,0.8,4,260,3,0,0,0,hr,high
11589,0,0,0.78,0.8,3,135,7,0,0,0,sales,medium
1067,1,1,0.45,0.57,2,136,3,0,1,0,sales,low
14935,1,1,0.4,0.49,2,143,3,0,1,0,product_mng,medium
7086,0,0,0.57,0.91,4,252,4,0,0,0,IT,low
9007,0,0,0.64,0.67,5,167,2,0,0,0,sales,low
1393,1,1,0.82,0.93,4,246,5,0,1,0,sales,medium
14824,1,1,0.81,0.97,5,243,5,0,1,0,support,medium
10337,0,0,0.9,0.66,3,256,4,0,0,0,hr,low
13849,0,0,0.91,0.61,4,135,10,0,0,0,accounting,medium
3657,0,0,0.78,0.91,3,238,2,0,0,0,RandD,high
14911,1,1,0.72,0.84,4,256,5,0,1,0,technical,low
1400,1,1,0.45,0.47,2,136,3,0,1,0,sales,medium
11187,0,0,0.49,0.91,4,134,4,0,0,0,accounting,low
4321,0,0,0.98,0.63,3,137,3,0,0,0,support,medium
1242,1,1,0.1,0.85,6,297,5,0,1,0,sales,high
13676,0,0,0.55,0.64,3,178,2,0,0,1,sales,low
8435,0,0,0.57,0.37,3,108,4,0,0,0,technical,low
2954,0,0,0.98,0.96,5,139,3,0,0,0,support,medium
6564,0,0,0.88,0.89,2,201,3,0,0,0,accounting,high
6066,0,0,0.85,0.88,5,236,4,0,0,0,technical,medium
9552,0,0,0.69,0.67,4,141,3,0,0,0,sales,medium
14562,1,1,0.48,0.93,3,219,6,0,1,0,technical,low
9707,0,0,0.62,0.71,4,168,2,0,0,0,sales,high
6720,0,0,0.57,0.49,3,159,4,1,0,0,technical,high
11062,0,0,0.94,0.95,5,170,3,0,0,0,support,medium
7886,0,0,0.8,0.57,3,176,3,0,0,0,sales,high
4137,0,0,0.94,0.87,3,229,3,0,0,0,sales,low
14008,0,0,0.99,0.97,4,211,2,0,0,1,marketing,low
4900,0,0,0.83,0.87,5,233,3,0,0,0,sales,low
9865,0,0,0.96,0.51,5,205,2,1,0,0,sales,medium
10247,0,0,0.84,0.76,5,243,3,0,0,0,sales,medium
12636,1,1,0.44,0.53,2,140,3,0,1,0,sales,low
5315,0,0,0.88,0.98,3,152,3,0,0,0,support,medium
14464,1,1,0.87,0.98,4,248,5,0,1,0,sales,low
6636,0,0,0.65,0.6,3,218,4,0,0,0,RandD,medium
1348,1,0,0.89,0.83,5,130,4,1,1,0,support,medium
13348,0,0,0.63,0.57,4,192,3,0,0,0,technical,high
12927,0,0,0.98,0.91,3,165,2,1,0,0,hr,medium
12783,0,0,0.66,0.66,3,225,3,0,0,0,technical,low
9786,0,0,0.81,0.87,4,203,2,0,0,0,sales,medium
11924,0,0,0.94,0.82,4,187,3,0,0,0,sales,low
2025,0,0,0.84,0.43,6,246,4,0,0,0,technical,medium
8548,0,0,0.68,0.63,4,148,3,0,0,0,RandD,low
7207,0,0,0.5,0.81,3,183,3,0,0,0,hr,low
7069,0,0,0.73,0.87,3,181,3,0,0,0,support,low
9880,0,0,0.51,0.5,4,246,3,0,0,0,hr,low
1981,1,1,0.76,1.0,4,220,6,0,1,0,RandD,medium
14739,1,1,0.09,0.8,6,301,5,0,1,0,IT,medium
9214,0,0,0.94,0.78,4,211,3,0,0,0,support,medium
8002,0,0,0.57,0.47,2,158,2,0,0,0,product_mng,medium
12180,1,1,0.4,0.47,2,146,3,0,1,0,sales,medium
14044,0,0,0.7,0.83,5,241,2,0,0,0,sales,medium
5498,0,0,0.97,1.0,5,251,2,0,0,0,accounting,medium
3560,0,0,0.16,0.88,6,218,3,0,0,0,support,low
1109,1,1,0.73,0.86,5,249,5,0,1,0,technical,low
4812,0,0,0.15,0.91,2,207,3,0,0,0,technical,medium
13408,0,0,0.5,0.48,4,130,10,0,0,0,sales,high
7873,0,0,0.18,0.73,4,219,5,0,0,0,sales,medium
3729,0,0,0.9,0.66,3,261,3,1,0,0,product_mng,medium
11440,0,0,0.69,0.48,5,232,4,0,0,0,sales,medium
11795,0,0,0.97,0.61,4,262,3,1,0,1,marketing,medium
1852,1,1,0.39,0.49,2,142,3,0,1,0,sales,low
12207,1,1,0.78,0.87,4,228,5,0,1,0,support,low
12805,0,0,0.78,0.7,4,139,3,0,0,0,IT,low
5165,0,0,0.76,0.74,4,187,3,0,0,0,support,medium
3792,0,0,0.68,1.0,5,203,2,0,0,0,support,low
2115,0,0,0.42,0.96,3,270,6,0,0,0,support,low
6077,0,0,0.97,0.77,5,223,2,0,0,0,support,low
12284,1,1,0.38,0.47,2,144,3,0,1,0,support,low
7579,0,0,0.41,0.75,4,199,3,0,0,0,sales,low
9512,0,0,0.47,0.57,3,97,4,0,0,0,support,low
567,1,1,0.1,0.97,6,282,4,0,1,0,hr,medium
5985,0,0,0.62,0.96,5,251,2,0,0,0,hr,high
9461,0,0,0.98,0.91,3,264,4,1,0,0,marketing,medium
11936,0,0,0.53,0.8,2,225,7,1,0,1,management,high
6863,0,0,0.65,0.97,3,171,3,0,0,0,IT,medium
1592,1,1,0.41,0.57,2,154,3,0,1,0,IT,medium
4599,0,0,0.49,0.56,4,260,6,0,0,0,sales,low
10581,0,0,0.75,0.94,5,217,2,0,0,0,support,medium
5715,0,0,0.77,0.87,5,257,2,0,0,0,product_mng,medium
4543,0,0,0.76,0.52,2,229,3,0,0,1,technical,medium
2702,0,0,0.85,0.63,4,154,3,0,0,0,hr,low
11623,0,0,0.66,0.95,5,192,7,0,0,0,sales,medium
1659,1,1,0.77,0.85,5,276,5,0,1,0,support,medium
12433,1,1,0.87,0.84,4,264,6,0,1,0,support,low
884,1,1,0.38,0.5,2,153,3,0,1,0,support,medium
1095,1,1,0.1,0.77,7,308,4,0,1,0,accounting,low
12179,1,1,0.11,0.85,6,308,5,0,1,0,sales,medium
6453,0,0,0.82,0.78,5,166,2,0,0,0,technical,high
10809,0,0,0.51,0.74,6,98,3,0,0,0,support,low
8322,0,0,0.55,0.75,4,166,2,0,0,0,sales,low
1923,1,1,0.59,1.0,2,155,5,0,1,0,sales,low
8665,0,0,0.63,0.74,5,227,2,0,0,0,technical,low
12981,0,0,0.72,0.61,3,175,3,0,0,0,sales,high
12673,1,1,0.37,0.46,2,149,3,0,1,0,IT,low
7917,0,0,0.7,0.75,4,204,3,0,0,0,technical,medium
5708,0,0,0.86,0.89,4,136,4,0,0,0,technical,medium
14343,1,1,0.9,1.0,5,221,5,0,1,0,support,low
2359,0,0,0.65,0.6,5,227,3,0,0,0,RandD,low
14158,0,0,0.85,0.9,3,245,3,0,0,0,marketing,medium
4469,0,0,0.68,0.76,3,190,3,1,0,0,technical,medium
14468,1,1,0.42,0.54,2,156,3,0,1,0,sales,medium
1554,1,1,0.9,0.83,4,266,5,0,1,0,sales,high
7715,0,0,0.3,0.53,3,210,6,0,0,0,marketing,medium
7323,0,0,0.36,0.4,2,105,3,0,0,0,RandD,low
12540,1,1,0.45,0.54,2,129,3,0,1,0,marketing,high
7978,0,0,0.69,0.63,4,272,2,0,0,0,technical,low
5244,0,0,0.54,0.5,4,146,2,0,0,0,support,medium
820,1,1,0.11,0.93,7,284,4,0,1,0,technical,low
4221,0,0,0.71,0.99,4,238,4,1,0,0,sales,high
6860,0,0,0.13,0.93,4,253,5,1,0,0,product_mng,low
9683,0,0,0.56,0.83,5,157,3,0,0,0,IT,medium
773,1,1,0.42,0.54,2,159,3,0,1,0,sales,medium
4311,0,0,0.62,0.51,3,222,3,1,0,0,technical,medium
4959,0,0,0.74,0.84,3,206,3,0,0,0,RandD,low
5915,0,0,0.91,0.57,3,158,3,0,0,0,technical,low
11385,0,0,0.67,0.67,4,141,2,1,0,0,sales,low
5168,0,0,0.6,0.8,3,191,2,0,0,0,support,medium
3360,0,0,0.52,0.63,4,232,3,0,0,0,accounting,low
13890,0,0,0.66,0.87,3,223,7,0,0,0,sales,high
3101,0,0,0.8,0.54,4,258,3,0,0,0,support,low
1155,1,1,0.11,0.89,6,301,4,0,1,0,sales,medium
2541,0,0,0.83,0.93,5,241,3,0,0,0,sales,low
302,1,1,0.1,0.77,7,250,5,0,1,0,RandD,medium
6181,0,0,0.58,0.79,5,197,3,0,0,0,RandD,medium
8649,0,0,0.58,0.88,5,178,4,0,0,0,sales,medium
11034,0,0,0.83,0.52,2,149,2,1,0,0,sales,low
10549,0,0,0.66,0.61,4,263,4,0,0,0,sales,medium
14605,1,1,0.42,0.56,2,133,3,0,1,0,sales,low
13703,0,0,0.77,0.49,2,286,7,0,0,0,marketing,low
